,full_text,assoc_shooter,weeks_after
84,currently watching the democratic sit in on the house floor  on  because  won t turn the tv cameras on  ,1,2
85,does  think  for everyone is the way to stop        ,1,1
86,everything wrong w  america  no  in the stores but    are promoted    ,1,1
87,for a gripping poetic interpretation to the  over the past couple weeks read this    ,0,2
88,forgotten that she    r the only ppl 2 have made us safer by reducing     ,0,4
89,gang members resolve their problems with   good luck on that one       ,1,4
90,god be with this family  god forgive us for our cowardice     ,0,2
91,governor calls for  common wisdom  on guns at  prayer vigil     ,0,4
92,gun violence has officially become regular news   heart goes out to police in baton rouge and beyond    ,0,2
93,heartbrking 2c  spk incred    amazhusband     ,0,4
95,hey   thanks for the follow  we ll demand the  addresses    via  ,0,3
97,hey   thanks for the follow  we ll demand the  addresses    via  ,0,4
98,hey   thanks for the follow  we ll demand the  addresses    via  ,0,4
99,i don t want to study porn for   just let us study   gah   ,0,2
100,i think it s  safe  to say that there s a lot of  b c there s a lot of guns   bullets   gun owners   fear  ,1,2
101,i turn on c span and there s a mass congresswoman talking about gun control  proud of my state    ,1,4
102,i m getting a sick of all this    ,0,1
104,if we cannot convince our legislators to fund  research on   could we  that ish ,1,3
107,it s pretty simple  congressional republicans          ,0,2
109,it s up on my facebook page     ,1,4
110,joined dem colleagues at vigil honoring victims of orlando including those from bk  we need a vote on    ,0,1
111,jul 8  2016  eleven more people shot in today s   more news       ,0,1
112,laws in fl don t do anything to help stop        ,0,3
113,leave them there until you do something about war weapons on our streets     ,0,1
114,like car crashes   is a  issue we need to tackle through research   data analysis   ,1,3
117,man threatens reporter with gun  until cops come   defends  flag      ,0,2
119,my week in tweets cont           ,0,4
120,nc residents    and  these congressmen are a disgrace to us they ve got to go if you oppose ,1,2
122,only 2  senators are among the 36 senators participating in the  on  trying to keep guns out of  hands ,1,1
123,our choice   is to say enough    ,1,1
124,police investigating shooting in harrisburg      ,1,3
126,rip seth rich   died of multiple gunshot wounds    ,0,1
127,rt  t5  my main man  nailed it  stop blaming mental illness for     ,1,3
129,retweeted farley flex      join like minded community members to address  in the city      ,0,4
131,senate votes on gun policy on monday  tell them to take action against  now     ,1,2
132,senate votes on gun policy on monday  tell them to take action against  now     ,1,2
133,send a quick letter to congress and tell them to take action against  now   ,1,1
134,send a quick letter to congress and tell them to take action against  now   ,1,2
135,seven actions you can take to help prevent   via     ,1,1
136,so what is more important  33000 americans killed by   or 33000 emails   debatenight,0,4
137,so who doesn t want to be part of the human race anymore       ,0,1
138,solidarity with  and most recently   the world is watching  america   get it together  ,1,4
139,sterling roses for you congresswoman  sterling roses      ,1,2
140,t11 physician groups representing 426 000 doctors say  must stop    ,1,3
141,thank u  for not giving up on saving america from      ,0,4
143,thanks  for addressing   relations    support reform before free college      ,0,1
144,the  controlled congress has done absolutely nothing to stop the next  massacre,0,4
146,the stigma around     is deadly   needs to stop         ,0,4
147,the truth about gun control by          ,1,2
149,these old school  got to go   guns don t kill people   people with guns do  ,1,1
152,time for action on us            ,1,1
153,today is  prevention day  together we can    ,1,3
154,today s  on  is great  pediatricians are key gun safety advocates  join the chat  learn the facts  ,1,3
155,today              affirmed that misdemeanor state  convictions can trigger federal firearms ban   ,1,3
156,tragic   must end  rip to all we lost     ,1,1
157,travel warnings for those visiting the usa     ,0,1
158,us senate votes on gun policy monday  tell them  take action against  now       ,1,2
159,usa gun violence statistics        ,1,1
160,wtf it s bad enough we have joe extremist gunning people down but now we have to worry about our military guys    ,0,2
162,we lack statistics on loved ones traumatized from    i ll never have grandchildren      ,1,2
165,what we know about  in the united states  who s affected     ,0,4
166,why guns aren t the problem            ,1,2
168,yes  the lies of  have been exposed  america will not be british sheep        ,0,3
170,you can still step up against   we re on 14 of     ,1,4
173,issue of police brutality     grew so big   rampant they fused   mutated into the demon unleashed in ,0,1
175, president and ceo rick pollack on the aftermath of the     ,1,1
176,  sit in   about  we re working in 105 degree heat to earn a living and pay 28  tax,1,2
177, my new    stop  sensible    ,1,1
181, is a public health emergency of epidemic proportions  all health care professionals must speak up   ,1,4
182, nurses   muslim healthcare workers   patients at against      ,1,4
184,  gotta be tired of       couldn t make it 8 yrs    ,0,2
185, man shot to death in  was city s 35th homicide victim this year      ,0,4
186, can help shape the response to    terror in america     ,1,2
189, of   in                ,0,2
190,    an open letter to  from the  industry   billboard  ,1,3
193, trauma   wave upon wave of suffering  screaming  and death   sen bill nelson    ,1,1
194, against  at federal plaza  right now    ,1,3
195, to a timely topic  i did this piece for  about      ,1,1
196, mothers of the movement  visit           ,0,1
197, why would our representatives be afraid of research that might prevent gun deaths       ,1,1
198,  visualizes gun deaths in america    h t   ,0,1
199,  spoke to us ab    prayers alone aren t enough      ,1,2
200,  we need to change attitudes  like we did with smoking   is a public health issue ,1,1
202,  now he has chance 2 live long enough 2b victim of  perp protected by  sponsored  hacks ,1,3
203,   you re worried about zika research  91 u s  citizens will die from a gun today  7 of those will be children  ,1,2
204,   stop wasting time on a partisan witchhunt start seriously addressing   our votes will be your job review ,1,4
205,  we demand a vote on  prevention  ,1,2
206,   stop denying importance of science   on       ,1,3
207,  you do realize nowhere on   is a gun offered for sale  right     ,0,3
208,   any of u care our kids being shot   prevention advocates join    others in saying ,1,4
209,  fyi the people in orlando were killed by   what are you going to do about it    ,0,3
210,1 month ago  49 people died at  in    has brought us a moment of silence  but not 1 hrg or vote on   1 2,0,1
211,30   presidents issue national call for reducing     ,0,3
214, hod declares  a public health crisis and advocates for congress to lift the cdc research ban   ,1,1
215,    so appreciate all of your work to reduce   should be ashamed  no  ,1,2
216, owns shares in the gun companies  your choices can    elsewhere      h ,1,1
217, bc america is so fucked up is my guess with all the  i don t blame brock,0,1
218,   glosses over america s problems  you mean  like   where s my remote    ,0,3
220, thank you for your service to our nation and in the fight to end   i made this for you   ,1,2
221, is right  while they re on break  countless more people will die from      ,1,2
222, ,1,2
223, i applaud your passion and truth spoken on  with     and hatred for  must stop        ,0,2
224,  thank you for not accepting donations from the nra   ,1,1
225, gun violence debate  where do you stand   snipme wants your video opinion  ,0,3
226, could you please make some  music      ,1,2
228, announces initiative to end   calls for comprehensive  legislation  ,1,1
229,  democrats go sit on the streets of chicago  where they have the strictest gun laws  yet the most  in the u s a  ,1,2
230, i feel bad for  bc teaching their customers  kids how to not climb furniture is not their job  also  not a right   ,0,2
231,  is the responsibility of every rep who refused      ,1,1
233, 2 3 by suicide 1 3 in gun free zones when a gun could have saved lives   ,0,1
234,  as a pediatrician  i urge you to support common sense proposals to protect kids from    ,1,1
235, see that  we have had enough    must end  ,0,1
241,another senseless act of   this one hit close to home  murdering  firefighter    ,0,1
246,boycott cinemark   theater wants  700k from aurora shooting victims       ,1,3
247,but america doesn t have a gun problem  right     ,1,1
249,crazies are quick to say  if they only had gunz   this needs to stop       ,0,3
251,does anyone truly believe we d still be talking  if  wasnt running  gop should invest in  reports instead ,1,3
253,either  dishonest or they got no clue how shit works on the street   ,1,3
254,finally getting some balls  yes  balls    standing up for the american people        ,1,1
255,firearm prohibitions for high risk groups reduce  says ,0,3
257,glad  is using this show as a platform to talk about ,1,3
258,good job  becomes first state to monitor  owners through   database    ,1,3
259,good question on gun ownership and control       ,1,1
260,gun control is having a moment in philadelphia via      ,0,3
264,hey   thanks for the follow  we ll demand the  addresses    via  ,0,2
271,i am so proud of our democratic senators right now  their efforts to make a difference w   on the senate floor is so inspiring ,1,1
272,i can t stop thinking about this mother      ,1,1
273,i heard shots ring out  mourned for where things go from there in a little prayer    arkay 2016    ,1,4
274,i hope this  on  goes on forever      ,1,1
275,i just joined    house democrats to say    demand the gop act to curb   add your name   ,1,2
277,isis takes credit for   blood not yet dry n nightclub  and obama and hillary blame guns and talk up    insanity ,1,1
278,if you are really looking to place blame for all the  in the u s  you could reflect back about 1600 years and put it on ,0,2
279,in 1976 47  of americans reported owning a gun  in 2014 33  said the same       ,0,4
281,inspiring to see the city taking this approach to curbing    this is the way to go     ,1,1
282,instead of taking away 2nd amendment rights 4 ppl who might be dangerous    let s just ban any gun w  a magazine    ,1,1
283,insults  yawn  that didn t take long  no facts         ,0,1
285,join us july 10 for a special  about all the seriousness behind the fun          ,1,4
286,jul 17  2016  seven more people shot in today s   more news       ,0,2
287,jul 18  2016  there was another  today  seven more people shot       ,0,2
288,keeping your guns locked away from children        ,0,2
289,lady in sc  this is the country  u dont hv this in the country  it just dont exist out here  wrong ma am  it happens everywhere   ,0,1
290,loving  instagram right now  ,1,1
291,many many protests in  today tonight  against extrajudicial police killings  against   just ended at city hall  so late ,0,1
292,me    video  let s do something about it      ,1,2
294,mothers march to end  in america  hear some of their stories   ,1,1
295,ny teens refuse to accept    via ,0,1
297,notice the common thread amongst the three atrocities      ,0,1
299,one would think congress would stop a terrorist from buying a gun  whether in a store or at a show  wrong   ,1,2
303,protect children from  with programs that work  make the promise at    ,1,1
304,public health professions are an optimistic bunch     ,0,3
305,real issue after the worst gun  in america     ,1,1
307,right now i m on the house floor w  my house democratic colleagues demanding action on      ,1,4
308,right now   sit in on house floor   shut down  span cameras     ,1,2
309,senate votes on gun policy on monday  tell them to take action against  now     ,1,2
310,senate will vote on two gun proposals on thursday      ,1,2
311,send a quick letter to congress and tell them to take action against  now   ,1,1
312,send a quick letter to congress and tell them to take action against  now     ,1,1
313,send a quick letter to congress and tell them to take action against  now   ,1,1
314,send a quick letter to congress and tell them to take action against  now   ,1,2
317,so he was only trying to scare her  guess he scared her to death   over   ,0,1
319,standing ovations for           ,0,4
321,strong words from minneapolis mayor betsy hodges on  after 2 toddlers shot   i am beyond sick of it      ,0,1
322,ty   for recognizing  not only as a public health issue but as a civil rights issue   ,1,3
323,thank you   and other   for  literally  taking a stand on    ,1,1
324,thanks  for your action against    ,1,3
325,thanks to  guys like this can now conceal and carry with no permit  reel dumb back asswards thinking  ,0,2
326,the myth called national security       ,1,1
328,the state of gun violence in the us  explained in 18 charts         ,1,3
329,the world has gone mad with  becoming the new normal domestically and beyond  praying for the victims   their families  ,0,3
330,these words from the  seem especially pertinent at the moment      ,0,1
331,this video explains america s  problem through 18 charts    ,0,1
332,this afternoon  the senate failed to pass common sense measures to prevent   jonahpesner s statement   ,1,2
333,this is atrocious  we must end    ,1,1
334,this is just sad  no problem solving   no mental health training  2nd case this week involving     ,0,3
336,thx  for grt article about toll of america s   on those who provide care  ,1,3
338,truth lyrics from  god is a bullet  by concrete blonde  free album       ,1,1
340,watching planet america episode 21 in iview       ,1,2
342,we need 2   address  against communities of color      ,0,1
343,we need 2   address  against communities of color      ,0,1
344,we need to pass comprehensive    to close the terrorist loophole to help end       ,0,1
347,why isn t the   about   on your home page now       thanks  ,1,1
348,with  talking  and youth power    ,1,3
349,words fail           ,1,2
350,yesterday i took the train that comes into chicago from indiana  guy said trump talks about chicago   but   ,0,1
351,you gop are useless  awful and shameful  i hope trump takes you all out of office     ,1,2
353,you know that   is serious when it s trending before hiddleston swift   ,1,1
354,you refused to stand with   against   you chose the   cowards way out   ,1,2
355,you would think a kid getting shot and dying in a shooting range would now pinpoint this as an issue now   no  ,1,4
357,  man confesses on  after            ,0,4
358, there is always darkness  but there s light too   amazing  story on healing  recovery after    ,0,3
359, they say that  guns don t kill people  people kill people   well i think the gun helps       eddie izzard   ,1,1
360, if democrats stop shooting people   would drop 90         ,1,1
361, what will it take  how many times will we wake up to these tragedies        ,1,1
362, is incompetent  but  senators who are taking gun nra     to refuse action on  are morally bankrupt criminals ,1,1
363,     what a heartwarming ad for father s day         ,1,1
365, the faces of 20 dead children in newtown  all murdered by one psychopath with unlimited access to guns   ,1,2
366, is a    stop the bullshit          ,0,1
367, does not cause       evil does  see this   ,1,3
368,  these gun statistics will floor you      ,1,2
370, we kill more of our own in   than we haved to protect those freedoms  sad irony   ,1,1
371, moved to tears   ,1,2
372,  when will this cruel thing stop      shocked  sad    ,1,1
373, consoling    families   he feels it         ,1,1
374,   they were people  they were loved  they were killed by guns    ,1,1
378, in ca   the u s  is a  problem    ,1,2
379, is a major problem in this country that must be addressed   ,0,4
380,  is there not 1 officer who will stand against his peers to say  enough  ,0,2
382, how could this happen   err  us gun laws    ,0,1
383,  on    survivors sit in at united states capitol rotu     ,1,4
385,  letting  guide toothless  bill   letting fox guard henhouse  we need bipartisan    bills ,1,4
386,  there seems to be a strong  pattern emerging  which can tell us a lot beyond ,0,4
387,  this texas mom has had it with   it s time for the    congress to     ,0,1
388,   young us  asked for internat pub prayers    for no more   hate in their country ,0,4
389,    to actively do nothing is a decision as well       ,1,1
390,  standing with  racist  homophobic  misogynistic  bigoted  platform    ,1,1
392,88 people were shot during the house democrats  gun control sit in   via  ,1,2
393, why doesn t  talk about     in this country instead of the veterans who r fighting for what ,1,1
394, everyday you refuse to whole heartedly endorse  you endorse   no  ,1,2
395, thank you for standing up and being my voice of how i feel about ,1,1
397,  ambush in orlando  ambush in dallas       unhealthy nation   we need to change     ,0,1
398,  there is no such thing as   the violence stems from the person  not the inanimate object    ,1,2
399, they just want more control over honest citizens  not criminals   ,0,2
401, let s stop   no matter where it s coming from ,1,1
402, have qs on what i m doing 2 prevent      join me 4 my  twitter town hall tomorrow at 5pm pst ,1,4
403,   assault rifles are for battlefields  not schools    ,1,1
405, according to fbi  1994 ban had no effect  why keep trying same methods conditions and expect different outcome  ,1,2
406, congress has a duty 2 protect american ppl not ignore a  crisis   stand wt    ,1,2
408, ty for taking a stand  for understanding that silence is only meaningful as a prelude to action  mom against  ,1,1
409,  and when     allowed ban to lapse  they caused a huge part of the upturn in    ,0,1
410,  i not only vote i lobby and i live in your district    ,1,2
411,  what gun problem   in  another win for    the  complicit with these  ,0,1
413,active shooter burlington washington at cascade mall four people dead   ,0,1
414,agreed but the  needs to be dealt with   ,1,1
415,american nurses association urges nurses to help stop gun violence   via    ,1,3
416,and now they blame trucks and guns for all the deaths and homicides      ,0,2
417,anytime  claim  are the problem    ban airplanes   ,1,1
418,are you tired of   take the  voter pledge      ,0,3
419,aug 3  2016  there was another  today  sixteen more people shot       ,0,4
420,ban all assault weapons   ammunition to non u s  military citizens in the united states    ,1,1
421,basic  sanity  checks from  would be a good measure to at least try to prevent    ,1,1
422,because  why not             ,1,1
423,brooklyn communities    are working together to address   ,1,3
424,california   stand up to   sign the proposed gun control laws   ,1,1
425,call 1 855 331 8593 to connect w senate      do something   ,1,1
426,clinton stresses gun control while talking about america s direction  in light of the recent officer involved shootings  ,0,1
428,devoted to ending  in brooklyn  30 yr old activist lavon walker was shot   killed in florida this wknd    ,0,3
429,do you need an ar 15 to defend your house   ,1,1
430,do your job       ,0,1
432,driving while black is not a crime  it should not get you killed by police     ,1,4
433,drs  rivara and rowhani rahbar describe the need for new thinking  new laws on u s    ,0,1
434,dtr of murdered sandy hook principal calls out politicians  cowering behind gun lobby    ,0,4
435,enough               ,1,1
438,funny how the outrage ends so quickly   ,1,4
439,god has fixed  he gave you common sense  free will    courage to do whats right  so     what s stopping you ,0,2
440,good grief people  bad as i feel for the orlando and other shooting victims  the shooters were violating existing laws   ,1,2
441,have to keep  in forefront also not just  need focus need full deep change     ,0,1
442,he s an actor  he s paid to act  not think  hollywood is perfect for that       ,0,4
443,healthcare professionals know  is a  issue   common sense gun laws are a step in the right direction    ,0,4
445,how can  leaders help reduce    weighs in in the    ,0,4
447,i can t retweet this enough      ,1,1
448,i offered amdt to allow  into  that was defeated  you can read   watch here    12 ,0,3
449,i m a survivor of     ,1,2
451,icymi  says public health research reduced smoking deaths   could do the same for    ,0,1
452,imagine if same amt time    republican energy put into  witch trials instead investigated  water poisoning or ,1,3
453,in u s  gun deaths exceed deaths from aids   drugs   wars   terrorism     video   ,0,1
454,in my own words  volunteer for  says it s time to protect families from   ,1,2
455,in the 40 hours since 5 died in   11 more ppl in us have been killed by  adding to annual total of 7 112 ,0,1
456,is  that naive or just that ignorant       ,1,1
457,is howard stern still a thing     nothing sadder than a wrinkly adolescent     ,1,1
458,it s   follow my good friend from    who s also working for real solutions to end  and  ,0,2
459,jul 29  2016  there was another  today  sixteen more people shot       ,0,4
460,june is  awareness month 100  represent ppl 22 killed in  in 1 year     ,1,2
461,just 15 minutes until dr  swartzberg and  talk  and     ,1,3
462,just saw the gun desk at fred meyer  if  logic were correct there d be no  because it would be prohibitively expensive ,1,3
464,just trying to present both sides of the argument peter  it s not nonsense when people are afraid     ,0,1
465,keep it up    you ll have a different set of radicals to worry about     ,1,2
468,mpd  driver shot on i 94 in north     ,0,1
470,man  trump is really disturbed by  in america  i can t wait to hear his common sense solu   lolololnope ,0,3
471,manuel francisco martinez iii  31 years old  homicide  chicago illinois   ,1,1
473,more   as 2 south carolina soldiers killed defending woman at bar  ,0,3
476,new project  sheds light on  despite the congressional ban on research    via ,0,4
477,no candidate is fully towing the  line    maybe we have turned the corner on  and our stomach for it ,0,4
478,no change  thanks to   despite all   efforts         ,0,2
479,nobody cares about your irrational fear of        ,0,4
480,not again   one dead  two wounded in shooting near vcu campus     ,0,3
481,on anniversary of massacre  campus carry takes effect    ,0,4
482,political posturing over  discourages honest conversations about suicide and   talking saves lives   ,0,1
483,poll  what are  doing rather than going to  to debate democrats on ,1,1
484,progress    ,1,2
485,proud to be an ma citizen as both  and   to work to end   ,1,1
487,rt   t5  my main man  nailed it  stop blaming mental illness for     ,1,3
488,rt     has turned off the cameras but america is watching  rt to support a vote on   ,1,2
489,rt  on trauma care and emergency medicine for  victims  ,1,1
492,self hatred seen in some anti gay hate crimes   via      ,1,1
493,sen   i hope you go to the floor to help support sen  to close terrorist gun loophole  ,1,1
494,senate votes on gun policy on monday  tell them to take action against  now     ,1,2
495,senator claire mccaskill   21st democrat to join chris murphy   other senate dems in  filibuster  cspan2  ,1,1
496,sometimes i wish we all stand up together against  it had to stop   what the world needs now is love    ,0,4
497,speaking up in the house for a vote on bills to prevent     thank you   ,1,2
498,stop   ban  via      ,1,1
499,students who have been impacted by  use circle keeping to heal from trauma    ,0,3
501,thanks  controlled feckless          ,0,2
503,the good guys with trucks were unable to stop bad guy with truck  let s get real about gun safety     ,0,2
504,the gun used in the  shooting is becoming mass shooters  weapon of choice    ,1,1
505,the latest from detective hayes  desk     ,0,4
506,the latest the babyfood daily    thanks to     ,1,1
510,this is neoliberal bullshit  neoliberals won t do what s necessary to end     ,1,2
516,trump   congressmen with pockets of cash from nra care only about themselves  imwithher    ,1,1
517,trying2stay     amongst    her emails    lack of  in   disenfranchisement of     ,1,4
519,twitter townhall on  held by  is going on right now   3 4pm   use the hashtag  and join in  ,1,4
520,two  college  shot and killed at off campus party      ,0,2
521,us a massive outlier in  compare these gun death rates  the u s  is in a different world   via ,1,1
523,urge congress to  that prevents the  from studying  right here   ,0,2
527,we extend support to families in germany today   people around the world must say   to   ,1,2
528,well done  mr  king     ,0,3
530,where is the love      the world is capitalizing on fear  sad sad day for humanity  ,1,2
531,why docs are struggling to deal with            ,1,2
532,within minutes of tweeting support for  enforcement of assault weapons ban  i was receiving hate messages   ,0,4
534,wrote a letter to my senator today about      so   if you get it please read it  you should all email your senators  ,1,1
536,yet  couldn t be bothered to join fellow  filibuster against     ,1,2
537,  huh   serfs are getting flimsier every day     ,0,2
538, as    we are dedicated to healing    preventing   illness   alleviating human suffering     ,0,1
540, until we deal w   in this country  we can t call ourselves the home of the brave      ,0,3
541, we  don t have a gun violence problem   you  need to take responsibility for your actions   ,0,1
542, we do not have to live like this    on  w   at     ,1,2
544,  over two times more people beaten to death than killed with    breitbart     ,1,1
546,  breaking  scotus just ruled to protect women with this common sense gun ban  ,1,3
548, as a public health issue  lectures   symposium  aug  10 11   ,0,3
553, and  happen in  at a mall today  in germany with some of the strictest     ,0,3
554, 2nd amendment needs 2nd opinion  ,1,1
555, laments the issue of  and  in the us   wonder why us is military heavyweight ,0,1
558,   all victims of   their families    responsible americans thank u  ,1,3
560, in detroit have different views on how to respond to      ,0,4
561,  we are allowed to have guns and to carry them in plain sight  like in a visible holster   the right to bear arms ,0,2
563,  on     has a podcast that touches on the role of big   in gun law reform    ,0,1
566,  i expect you to solve this  problem with america in mind  u weren t elected to pray for me  ,0,1
567,  told  today concealed carry is not the answer to      ,1,2
568,2016 must be a  vote to end epidemic of     end the slaughter vote   ,1,1
569,3 y o practices lockdown drill  while  rejects       ,1,2
570,6 people victims of 5 armed robberies in 17 hour stretch  nopd says       ,0,3
571,96 year old woman wounded in central district drive by shooting      ,1,3
572, and     by law enforcement authorities and armed civilians must end   ,0,1
574,  is a public health crisis  not  ,0,2
575, says he saw too many young bodies bc of constant  so he s part of the  standing strong  ,1,1
576,    o  i cannot believe i forgot    what else we didn t hear about   ,0,4
578, glad you knew my senators number via text   thanks for calling for me ,1,2
579,  gun violence debate  where do you stand   snipme wants your video opinion  ,0,1
580, as pediatricians we urge you to support common sense proposals to protect children from  ,1,1
581,  have to bring this into the conversation around  what do we do w this kind of lethality ,0,1
583,  if by  evil  you mean the lobbyists who ensure that citizens can buy military grade weaponry  then we agree ,1,1
584, we have a new export  ,1,3
585, because the government is getting bigger and they are afraid of guns  no matter what they say now   ,0,1
586,   quietly  congress extends a ban on cdc research on      ,1,4
587, i know you are at  sit in we must change  has taken to many americans  proud democratic n your district,1,2
588,  over   realizes there ain t enough guns to blow the fire out   ,1,2
589, and   as a pediatrician  i urge you to support common sense proposals to protect children from   ,1,1
590,  where r u      stop  support   ,1,1
591,   yes    sign me up   on  funds for  research ,1,2
594, and how is a sober conversation on mass murder     cold   heartless   when ought that happen  do enlighten ,0,2
595,a  of protest written in response to         ,0,2
597,a for america where every day we sacrifice children to the      ,0,2
598,aera council endorses joint statement on  campus carry  legislation    ,0,3
600,and we wonder why gun culture is getting out of control    ,1,1
601,anyone else notice the  and  supporters have been so quiet tonight     ,1,1
602,at least 32 reportedly shot in chicago so far on fourth of july weakened via the  app    ,1,4
603,at the  there are so many extraordinary survivors of    and the  mothers   ,0,4
605,be the change you wish to see in the world     ,1,1
607,charles ramsey  i ve mourned far too many officers killed with guns    ,0,4
608,chilling 911 calls of gun crazy mother shooting her own daughters to death     ,1,3
609,curious about      check out  s recommended resources    ,0,2
610,dear    the days when you can talk about your  faith  and ignore  victims are over   we see through it     ,0,2
613,democrats need to take that long range rifle away from klay thompson   ,1,1
617,gop   porn more dangerous than guns   right  and pixie dust s more dangerous than war        ,0,1
618,glad to live in    for making us safe from gun crimes      via   ,1,1
619,has anyone s mind ever been changed by an argument over twitter  especially nowadays  nothing will change either way  ,0,1
621,have you helped to end  yet  what are you waiting for  use wisdom not weapons to end gun violence  ,1,3
622,hey   thanks for the follow  we ll demand the  addresses    via  ,0,3
625,homicide in  at 4 06 pm today    ,1,4
626,housedems are on floor demanding votes on bipart  bills  naming victims who never got moments of silence  ,1,4
627,how many killings will it take      ,1,1
628,how many more  must die before  occurs          ,1,2
629,how many more speeches will  have to give on    via    ,1,1
630,how many will be too many        ,0,4
631,i know this is risky to say but imho assault automatic or semi should be banned u may now start the feeding frenzy  ,1,1
632,if the federal government can t treat  as a public health problem  then we will    ,1,3
634,in the midst of   sit in  a reminder of the pain of  victims for   ,1,2
635,interesting construction of the  evil   but what exactly does that concept mean     ,0,1
636,is he going to call latinos tacos       ,0,3
637,it s impossible to understand the us  relationship with guns without speaking in religious terms    ,1,1
638,john lewis for president    ,1,2
639,losing a child 2  changed my relationships  u can t be silent   be my friend      ,1,4
640,man shot in hermosa      ,1,3
641,mayors to congress  do  something  anything  on guns   93 1 wibc     ,1,3
642,media  you know what would be great  if you would report every instance of  every day until we see legislative change  ,1,1
643,more   more  are standing up against police brutality       ,0,1
645,not a reagan fan  but giving him credit where credit is due      ,1,1
646,not race related  just related to stupidty and guns   both of which are everywhere and in all races     ,0,2
648,obama  in dallas  seeks to console and reassure         ,0,1
649,once again flags fly half mast by public buildings  so sad    must end  ,0,1
651,packed room of  learning about how to better report on      ,1,1
652,pat maisch  arrested yesterday while protesting   she wrestled ammo clip from the tuscon shooter  hero   ,1,4
653,please stop this          ,0,1
655,rt canarioacosado  rt jeremyforsberg    for this week   and hundreds more in    running out of tears       ,1,1
657,real talk 2  has the clinton foundation or the trump foundation given money to survivor victims of incidents of mass shootings  ,0,2
658,republicans spent 8 years obstructing   now have gall to focus on email investigation     ,1,4
659,research  evidence based medicine is an effort to find truth  we can pursue this  except for    end ban on ,1,1
660,resident escapes injury when multiple shots fired into burlington co  home     ,0,1
661,restaurant owner spurns those who are ok w  ar 15s       ,0,4
662,retweeted    r saddler         this about sums up trump   the gop on     i could  shoot     ,1,1
